"Dany jest generator liczb losowych Xi o rozkładzie równomiernym w przedziale (-0.5, 0.5) oraz wyznaczane są liczby losowe Yi według wzorów podanych niżej. Wskaż, które z podanych wzorów mogą być stosowane do generacji liczb losowych o rozkładzie normalnym N(0,1):",
1,w metodzie kolejnych całkowań występuje jawna zależność zmiennej stanu od zmiennych: wejściowej i wyjściowej i ich pochodnych 
0,przy zastosowaniu metody szeregowej wartościpoczątkowe kolejnych zmiennych stanu są równe warunkom początkowym dla zmiennej wyjścia i jej kolejnych pochodnych 
0,skokowa zmiana sygnału wejściowego w chwili    t = 0 powoduje ze pomiedzy wartosiami zmiennych stanu zachodzi następująca relaxja x(0+) != x(0-)
0,przy zastosowaniu metody równoległej wartości początkowe kolejnych zmiennych stanu są rowne warunkom początkowym dla zmiennej wyjścia i jej kolejnych pochodnych 
,
Warunki stabilności dyskretnych układów liniowych,
1, na płaszczyźnie zespolonej przeształcenie p = (n+1)(n-1) odwzorowuje punkty półpraszczyzny n w punkty koła p
0, na płaszczyźnie zespolonej przeształcenie p = (n+1)(n-1) odwzorowuje punkty półpraszczyzny n w punkty półpłaszczyzny p
0," jeśli równanie charakterystyczne ma pierwiastki mniejsze lub równe jeden, to układ jest stabilny "
0,"jeśli równanie charakterystyczne ma pierwiastki większe od 0, to układ jest niestabilny "
,
Równania Stanu ,
1,metoda szeregowa polega na przedstawieniu układu jako szeregowego połączenia układów prostszych 
0, w metodzie zmiennej pomocniczej jako zmienne stanu przyjmuje się zmienną wyjściową i jej pochodne 
0,metodę ogólną można stosować dla układów opisanych funkcją przejścia k(p) = l(p)/m(p) w przypadku gdy licznik L(p) jest sopnia co najmniej pierwszego
,
Generatory ,
1,metoda superpozycji może być przydatna w realizacji generatora zadanego funkcją gęstości rozkładu o skomplikowanym kształcie 
1,wygenerowanie kolejnej liczby za pomocą metody odwracania dystrybuanty wymaga jednokrotnego użycia pomocniczego generatora liczb o rozkładzie równomiernym 
0, metoda odwracania dystrybuanty znajduje zastosowanie dla generatora liczb o rozkładzie równomiernym 
0,"metoda eliminacji znajduje zastosowanie w przypadku, gdy funkcja gęstości rozkładu nie jest ograniczona "
,
Optymalizacja ,
1,funkcja fminunc umożliwia rozwiązywanie  zadań z optymalizacji parametrycznej bez ograniczeń 
1,musi być określona funkcja wyznaczania wartości wskaźnika jakości dla aktualnych wartości wektora parametrów optymalizacji; funkcja ta dodatkowo może wyznaczać składowe gradientu 
1,metoda Hooka-Jebesa jest bezgradientową metodą poszukiwań prostych 
1,metoda kierunków sprzężonych Powella jest bezgradientową metodą kierunków poprawy. 
1,zadanie dwugranicznej jest przykładem zadania optymalizacji parametrycznej 
1,"w zadaniach optymalizacji parametrycznej szukamy takich optymalnych wartości parametrów alfa, by wskaźnik jakości przyjął wartość minimalną "
1,szukanie maksymalnej wartości wskaźnika jakości można zastąpić szukaniem minimalnej wartości wskaźnika pomnożonego przez -1 
0,musi być określona funkcja wyznaczania pochodnych wektora stanu  
0,funkcja fminsearch implementuje algorytm Gaussa-Seidlera wyznaczania minimum funkcji 
0, metoda Gaussa-Seidela jest gradientową metodą ierunków poprawy 
0,metoda simpleksu Neldera-Meada jest gradientową metodą poszukiwań prostych 
0, parametrami optymalizacji nie mogą być warunki początkowe zmiennych stanu 
,
Koncepcja wyboru działań ,
x,znajduje zastosowanie przy modelowaniu dowolnych układów dyskretnych 
1,"wymaga, aby w budowanym modelu programowym/czasowym przy każdym przesunięciu czasu zbadać możliwość wystąpienia wszystkich zdarzeń czasowych i warunkowych "
1,znajduje zastosowanie przy modelowaniu dowolnych układów ciągłych. 
1,umożliwia modelowanie systemów masowej obsługi 
0,implementowana jest przez pakiet GASP 
0,implementowana jest w programie Simmnon. 
,
GASP ,
1,"planowanie zdarzeń może dotyczyć zarówno tego, co będzie odbywać się w przyszłości, jak i w teraźniejszości "
1,zaplanowanie zdarzenia  może wymagać między innymi użycia jednej z funkcji generującej liczby pseudolosowe 
1,"brak elementów w zbiorze zaplanowanych zdarzeń po zakończeniu obsługi jednego ze zdarzeń w trakcie realizacji eksperymentu oznacza, że aktualny stan układu jest ostateczny "
0,"zbiór zaplanowanych zdarzeń nosi nazwę ""struktury FES"" "
,
Równania stanu i wyjścia ,
1,równania stanu można stosować do opisu układów liniowych i nieliniowych 
1,równania stanu są równaniami różniczkowymi w równaniu stanu nie występuje zależność od pochodnych sygnału wejściowego 
1,równania stanu są równaniami różniczkowymi 
1,metodę zmiennej pomocniczej można zastosować w przypadku występowania pochodnych zmiennych wejściowych 
0,"jeżeli macierz przejścia D jest zerowa, to nieciągłości sygnału wejściowego są przenoszone do sygnału wyjściowego "
0,dla danego układu istnieje tylko jeden opis za pomocą równań stanu 
0,metoda mieszana polega na złożeniu metody zmiennej pomocniczej i metody kolejnych całkowań  
0,"metoda ogólna znajduje zastosowanie w przypadku, gdy występuje pochodna zmiennej wejściowej. "
0,zmienne stanu uzyskiwane przy zastosowaniu metody kolejnych całkowań są sygnałem wyjściowym lub pochodnymi sygnału wyjściowego.  
0, dla danego układu istnieje tylko jeden opis za pomocą równań stanu 
,
Schematy różnicowe ,
1,metody zamknięte wymają rozwiązania równania algebraicznego w każdym kroku 
1,"B. schemat różnicowy jednokrokowy ma postać     vj+1 = F(vj,tj) "
1,metody Rungego-Kutty są przykładami metod jednokrokowych 
1,C. metody Rungego-Kutty są przykładami metod jednokrokowych 
0,"w ramach metody predykator-korektor najpierw wykonywana jest metoda zamknięta, potem otwarta "
0,w metodzie predykator-korektor celem etapu korekcji jest znalezienie początkowego przybliżenia punktu Vj+1
0, metody otwarte charakteryzują się większą dokładnością od metod zamkniętych
,
Matlab,
1," drugi parametr wejściowy funkcji ode45 to wektor 
określający przedział całkowania   [to, tmax]"
1, ode45 umożliwia rozwiązanie zagadnienia początkowego 
1,rozwiązanie zagadnienia początkowego dla układów ciągłych
1,rozwiązanie zagadnienia początkowego dla układów dyskretnych 
0,funkcja ode45 zwraca miedzy innymi przebiegi zmiennych określonych równaniem wyjścia 
0, pierwszy parametr wejściowy funkcji ode45 to nazwa funkcji wyznaczania zmiennych wyjściowych 
0,rozwiązanie zagadnienia optymalizacji parametrycznej 
0, wyznaczenie czasowej funkcji przejścia 
,
SimEvent ,
1, koncepcja interakcji procesów 
0,koncepcja planowania zdarzeń 
0,koncepcja wyboru działania 
0,dyskretne równania stanu 
0,ciągłe równania stanu 
,
Planowanie zdarzeń ,
1,mechanizmem upływu czasu symulacyjnego steruje procedura kontroli symulacji
1,zaplanowanie zdarzenia wymaga między innymi obliczenia chwili zajścia tego zdarzenia. 
1,"obecność elementów w zbiorze zaplanowanych zdarzeń po zakończeniu realizacji eksperymentu oznacza, że eksperyment zakończył się w sposób nieprawidłowy (błędny) "
0,"wykrycie przez procedurę kontroli symulacji pustego zbioru zaplanowanych zdarzeń w trakcie realizacji eksperymentu oznacza, że aktualny stan układu jest ostateczny. "
0,można planować zdarzenia odbywające się w przeszłości 
0,"planowanie dotyczy zarówno tego, co będzie odbywać się w przyszłości, jak i przeszłości. "
,
Metoda Eliminacji ,
1,nie może być wykorzystywana do generacji liczb o dowolnym nieobciętym rozkładzie normalnym 
0,jest zawsze bardziej efektywna od metody odwracania dystrybuanty
0,umożliwia wygenerowanie kolejnej liczby zawsze przy jednokrotnym użyciu pomocniczego generatora liczb o rozkładzie równomiernym 
0,"znajduje zastosowanie w przypadku, gdy funkcja gęstości rozkładu nie jest ograniczona "
